id,name,meta_description,headline_description,tags,short_description
66d727eb-7e35-488b-8c65-0cadbd554c0c,India's Most Effective Portable Air Purifier (Blush Pink),"Buy Atovio Pebble Air Purifier and eliminate 90% of airborne pollutants. Personal, portable, filter-free, maintenance-free. Turbo mode & IIT Kanpur tested technology.",This isn't just a gadget - it's your personal air guardian.,Made in India|Immunity Booster|Air Purifier,portable personal Wearable air purifier blush pink Lightweight wearable Silent compact
f3fcc346-2afa-4d77-a33a-433aff094d0e,F1 Monaco 3D Wall Frame (Geographic),"Buy the F1 Monaco 3D Poster – a handcrafted A4 luxury wall piece featuring the iconic Monaco GP track. Printed on 280g fine art paper with 3D detailing, wooden frame & acrylic glass. Perfect for F1 fans & unique gifting.",This 3D luxury Legendary Monaco track wall art transforms your room into an immersive experience.,Durable|Wooden Frame,Monaco Grand Prix track 3D poster F1 Circuit de Black wooden frame lightweight shatterproof
f2fdef0e-4b09-4623-b9c4-b5d486bf05ec,GOKU Rug,"Buy GOKU Rug by Just Rugs Co – a premium anime-inspired rug combining style, softness & durability. Perfect for Dragon Ball fans, this rug adds comfort and bold character to any living space.",Transform your living space with the GOKU Rug.,Made in India|Handmade|Rugs,"This luxurious rug not only adds a stylish touch to any room, but also provides 100% softness and comfort under your feet."
b1b1205a-b0f3-4205-ae2c-d5c7d2988a2b,Aruval / BLADELINE,"Buy Aruval Bladeline Utility Bag – Inspired by ancient Indian weapons, built for modern warriors. Zero polyester, all grit. Tactical rig with brass hardware, utility pockets & adjustable fit. Lock in & move sharp.","Born from ancient Indian steel.
Built for modern operators.
This isn’t just a bag. It’s a system.",Portable,Aruval holster bag Olive Green chest bag genuine leather rig 100% original leather Brass hardware for men
e3f25bb7-24b5-43ed-a2c5-4aa3c2b8d110,MEMENTO MORI | LIFE CALENDER - METAL FRAME - RED STYLE,"Buy the Memento Mori Life Calendar with a metal frame and visualize your entire life in 4,160 weeks. Boost focus, motivation, and live with intention every single day. Made in India.","Fill in a new square with each passing week, and you'll quickly experience improved focus, a heightened perspective on life, and a rush of motivation to take consistent action.",Made in India,"The average human lifespan nowadays is 80 years. That means, your life is made up of (hopefully) 4,160 weeks, and this tool will help you make the most of them."
2f5cd077-8139-49d0-a543-db4b861f2b01,Heat 551 Chest Bag,"Buy and Level up your streetwear with the HEAT 551 Chest Bag. Durable, compact, and perfect for everyday carry. Designed for utility and style on the go. Shop now on Toastd.",The Heat551 is your ally on all fast paced days.,Portable|Smash Your Goals,Tactical chest sling anti-tank missile bag Aircraft-grade aluminium frame Waterproof front pocket zipper Emergency deploy mechanism Breathable fabric radium-safety elements
e094e381-c423-48ce-8511-9818be2df745,Strobe Dual Handle Bag - Navy,"Meet the Strobe Dual Handle Bag (Navy), crafted from upcycled workwear. Chic, versatile, and eco-conscious - carry it as a shoulder bag or crossbody. Every piece is unique, made to last.","Meet the Strobe Dual Handle Bag (Navy) - upcycled from pre-loved workwear. With twin front and scrunched side pockets, it keeps essentials handy.",Homegrown Brand|Recycled Materials,Strobe Dual Handle Bag Navy Upcycled Denim Shoulder Utility Workwear Tote Navy Crossbody Recycled Fabric Handbag eco-Friendly Fashion Versatile Everyday Bag Chic Denim Tote Sustainable Fashion Accessory Minimalist Navy Handbag
fdbbe0af-d459-46bc-9f4c-6c9fd3a79178,VINTAGE BOLLYWOOD - WALL COLLAGE POSTERS,"Shop Vintage Bollywood Wall Collage Posters printed on premium 350GSM matte artcard. Available in A3, A4, and A5 sizes. Perfect for nostalgic aesthetic room decor.",Premium 350GSM vintage Bollywood prints for iconic wall aesthetics.,Aesthetic,vintage bollywood posters collage wallart retro cinema prints 350gsm matte artcard aesthetic wall decor india
d082d408-dc8d-4be5-8884-38394594ea72,Mango Madness (PACK OF 7),"Buy GOAT Life Mango Madness – high-protein overnight oats with real Alphonso mango flavor. Each 75g serving packs 24g whey protein, fiber & prebiotics for a delicious, nutritious start to your day.","Tropical taste meets serious fuel.
Crafted with real Alphonso mango and 24g whey-based protein, Mango Madness delivers a delicious, nutrient-packed breakfast that powers your day - naturally and guilt-free.",No Preservatives|Vegan|High Protein|No Sugar|Muscle Building,Goat Life aren't your ordinary protein oats; they are a finely crafted blend of only the finest natural ingredients.
590add82-98c3-4eb5-8e87-9a43f9a60d3e,Umi - The Ocean,"Buy Umi — The Ocean by Okami – a fresh aquatic-woody pure parfum with grapefruit, sea notes & ambergris. Long-lasting (8–10 hrs), clean & cool—perfect for casual outings and effortless daytime elegance.","Umi is fresh, clean, and made for light, effortless days.
A fresh, clean, and cool fragrance made for daytime events, casual outings, and when you want to feel light and alive.",Premium Ingredients |Unisex,Umi the ocean  gives you 8-10 hours of Longevity.
a198766c-4c06-4fe2-9196-bbb7a4f5f10e,Spring Ball Lamp,"Buy Spring Ball Lamp – A chic metal spiral base with a glowing glass orb. Handmade in India, perfect for adding whimsy & warmth to any room.","Perfect for adding a dash of whimsy to your bedside table, desk, or cozy nook, this lamp is where fun meets functionality.",Made in India|Hand Made,Spring Ball Metal coil base Funky spring lamp décor Whimsical table Playful orb spring light Metal spiral Glass ball shade Handmade Heavy metal-glass lamp design Durable and elegant lighting
81d38358-ce93-4527-907a-9d2778d0cc65,MIRROR SPECTACULAR,"Buy Mirror Spectacular by WeAreNotice – a handcrafted 18-inch convex glass mirror designed to stand out. Bold reflections, wide-angle views, and unexpected character—perfect for entryways, studios & statement spaces.",Most mirrors help you blend in. This one helps you stand out.,Aesthetic|Homegrown Brand|Handmade,"The Mirror Spectacular by we are noitce is built with real, handcrafted convex glass; Not the plastic you find on street corners. Every curve is intentional."
684445dc-ac00-4c30-ac7d-69022426d249,GoOats Protein Oats- Tiramisu Flavour,"GOAT Life Tiramisu Overnight Oats – a limited-edition high-protein blend inspired by Italian tiramisu. 27g protein, instant oats, coffee-soaked flavor, zero added sugar, and gut-friendly prebiotics.","Inspired by the iconic Italian tiramisu — creamy, coffee-soaked, and packed with 27g of powerful protein.",No Preservatives|Vegan|High Protein|No Sugar|Muscle Building,protein oats tiramisu high protein overnight oats italian dessert flavor 27g protein creamy coffee indulgent oats healthy breakfast
dcd2e3aa-7ca3-4dc5-b423-d2e667e33fd7,Perpetual Calendar - WeAreNotice,"Buy Perpetual Calendar by WeAreNotice. A sleek, minimalist desk calendar that never expires perfect for home or office decor. Shop now for a timeless way to track your days.","Perpetual Calendar is not bound to a specific year, allowing you to reuse it endlessly, making it a sustainable addition to your space.",Aesthetic|Homegrown Brand,"Perpetual Calendar - WeAreNotice is inspired by Enzo Mari’s iconic Formosa calendar, this design pays homage to its minimalist roots while adding a distinctive Notice twist."
dafec133-5c4b-4e32-acee-b7e45b1ed504,Yoru - The Night,"Buy Yoru — The Night by Okami – a bold woody-spicy pure parfum with saffron, oud & patchouli. Long-lasting (8–10 hrs), sensual & magnetic - perfect for formal evenings, cigar lounges & special occasions.","Yoru – The Night is a deep, mysterious scent with black pepper, incense, and smoky woods. Bold, sensual, and quietly magnetic.",Premium Ingredients |Unisex,"Yoru the night is warm, spicy, and made for special evenings.
A deep, warm, and spicy fragrance that’s perfect for formal occasions, cigar lovers, dinner dates, and high-level meetings."
2de60dd6-cd73-4fbc-a556-a2704fe3719b,CALL ME IF YOU GET LOST MIRROR,"Handcrafted 'Call Me If You Get Lost' mirror inspired by Tyler The Creator. Epoxy-coated, hangable, and aesthetic. Perfect indie room decor with premium finishing.","Handcrafted indie aesthetic mirror inspired by Tyler, The Creator.",Aesthetic,callmeifyougetlost mirror tyler the creator aesthetic room decor handcrafted resin frame indie vibe wall art album inspired mirror unique decor
357fcab8-59e7-471a-8d6e-7040fc275eb4,Dark Knight Hoodie,"Shop the Dark Knight Hoodie - a washed charcoal fleece hoodie with plaid flannel overlays, stud detailing, dual zip pockets, and ribbed construction. A premium unisex streetwear essential.","A rugged, vintage-washed hoodie crafted with fleece and plaid flannel overlays for bold streetwear presence.",Made in India|240 GSM|Oversized fit,hoodie darkknight flannel fleece charcoal vintage streetwear unisex plaid studded washed
00e48da1-74ff-45ee-b4ac-93d8b1cd5c60,DIY Fluid Wheel Art Kit,"Buy DIY Fluid Wheel Art Kit to craft bold, vibrant artwork using centrifugal motion. Perfect for beginners & pros alike. Includes paints, tools & canvas - fun, fast & frame-worthy!","Create mesmerizing, custom artwork with the DIY Fluid Wheel Art Kit!",DIY Kit|Child Friendly,DIY Fluid Wheel Art Abstract fluid Centrifugal for adults and kids Creative Home art project Spin painting kit
23fd7aa0-e8c1-4325-8580-0147aa763752,TRIDENT PENDANT WITH CHAIN (SILVER),"Buy Trident Pendant with Chain (Silver) by GRYTT. A bold, waterproof stainless steel pendant symbolizing strength and resilience. Crafted with rhodium plating for a polished finish.","The Trident Pendant with Chain (Silver) embodies power, resilience, and bold individuality. Crafted from recycled stainless steel with rhodium plating, this pendant offers unmatched durability and shine. Its clean lines and striking trident form make it a staple for modern minimalists who demand strength in every detail.",Jewellery|Aesthetic,trident pendant silver stainless steel rhodium chain waterproof anti-tarnish durable minimalist jewelry
1b6a3365-1396-42ed-82d6-ead1d62114bb,Droid sipper flask,"Buy Stotodo Tank Dual Sipper Flask – a 1.2L insulated stainless steel bottle with dual sip & chug options, flip-lock lid, detachable straw & rotatable handle. Keeps drinks hot or cold for hours. Built like a tank.","The only flask that lets you sip when lazy, and chug when thirsty, While sipping, it also ensures that your water stays hot or cold for hours on end.",Durable|Double wall glass,"Stotodo Tank Dual Sipper Flask is Built like a tank, this tank not only lets you sip when relaxed, but also chug when thirsty."
2013c621-d8b0-4815-abfb-e336f8979d27,ONE PIECE WANTED POSTERS - WALL COLLAGE POSTERS,"Buy One Piece Wanted Posters Set – Featuring iconic bounty designs on 300GSM matte artcard with a unique laminate finish. Available in A3, A4 & A5 sizes. Elevate your anime wall game with premium quality prints!","Uncovering the one piece bounty posters set. Coming in A3, A4, and A5 sized posters.",Vintage,One Piece Wall Wanted bounty collage Anime One Piece pirate posters printed home decor
3ea0e4a1-a49f-4861-bb7a-f2ae9405ffca,BAT WASHED T-SHIRT,"Buy Bat Washed T-Shirt by Ctrl+P – an oversized unisex tee crafted from 100% cotton terry. Features stone-wash vintage appeal, puff print logo, and bold bat skeleton design for a rugged streetwear edge.","The Stone-Washed Oversized T-Shirt is an item of clothing that perfectly combines comfort, style, and a hint of vintage appeal.",240 GSM|Oversized fit,It showcases the skill of stone washing for a design that's effortlessly stylish and ageless. The tee's grungy brand logo and bat skeleton puff design on the back give it a rugged overall appearance.
2308687d-932b-40e4-a66a-e52a5e5b9d22,CARGO WANDERER BACKPACK - Beige,"Buy Cargo Wanderer Backpack in Beige – Made with 65% upcycled materials. Features padded laptop sleeve, trolley strap & multiple pockets. Ideal for eco-conscious everyday adventures.","Say hello to the Cargo Wanderer Backpack - stitched from discarded textiles, made for everyday adventures. Whether you’re hopping cities or just your neighbourhood café, it’s got your back (literally).",Recycled Materials,Cargo Wanderer Backpack upcycled Sustainable Padded laptop sleeve Cotton backpack bag
1652f65d-b2ab-4e0b-bf04-b7692f3cdd74,Taylor Swift Vinyl Collage Posters,Buy Taylor Swift Wall Collage Posters by Reawaken Theory – A4/A5 premium 300GSM matte artcard prints with special laminate for unmatched texture and finish. Perfect for Swifties & stylish wall décor.,Uncovering the Taylor Swift poster set. Transform your space with premium matte posters in iconic Taylor Swift aesthetics.,Aesthetic,Relive her eras through artfully designed collage moments.
81e75fe2-141c-404c-9dd1-84209393f828,IT’S A YES! RING - 18K GOLD-PLATED,"Buy It's a Yes Ring by Bria Jewels – crafted with thick 18K gold plating on 316L stainless steel. Hypoallergenic, waterproof & tarnish-resistant with a lifetime warranty. Perfect for daily luxury wear.",18K gold-plated brilliance for every moment that matters.,Jewellery|Aesthetic,"Hypoallergenic, waterproof, and anti-tarnish - because beauty shouldn't come with compromises."
38ee23e5-617f-4406-87fc-62bdc26e839f,Zesty Lemon Iced Tea (Sugar-Free) ,"Stay cool and healthy with Guppy Moms' Sugar-Free Lemon Iced Tea with Vitamin C. Zero sugar, bold lemon flavor, and immune support in every sip. Shop now at Toastd.","the Sugar-Free Lemon Iced Tea with added Vitamin C. Indulge in the delightful fusion of zesty lemons, invigorating ice tea, and the immune-boosting power of Vitamin C, all without the unnecessary sugar.",No Sugar,Sugar-free Lemon Iced Tea with Vitamin C Zesty powder Guilt-free instant Immune-boosting iced Tea enriched Vitamin C Sweetened plant-based stevia
ee794211-a3b5-4453-9f89-1bab5e49573e,DIY Korean Gochujang Ramen Kit for 2,"Buy Korean Gochujang Ramen Kit for 2 with all essentials: gochujang, noodles, soy sauce, vinegar, seasoning, broth powder & chili threads. Make authentic Korean ramen at home with ease.","Perfect for couples or small gatherings of two, this comprehensive kit provides all the essentials for creating mouth-watering Korean-style ramen in the comfort of your own kitchen.",Shark Tank India|DIY Kit,Korean DIY Gochujang ramen serves 2 starter kit couples Bold and spicy Korean ramen flavor Chewy authentic texture
1da06107-dbea-4152-8869-62a8070176bd,Kitsters X Chefling – Sushi Kit for 2,"Create restaurant-style sushi at home with the Kitsters x Chefling Sushi Kit for 2. Perfect for couples, this complete DIY sushi-making kit comes with all essentials for a fun culinary experience. Ideal for date nights and sushi lovers. Shop now at Toastd!","Perfect for date nights, family bonding, or simply treating yourself to fresh, hand-rolled sushi without stepping out.",DIY Kit,Kitsters x Chefling DIY Sushi Making Kit for 2 Beginner-friendly All-in-one Interactive cooking
d9910974-a1b4-44cd-bc36-e2d0fd3687ea,DIY Light Bottle Painting Kit,"Transform upcycled bottles into glowing art with the DIY Light Bottle Painting Kit! Includes paints, brushes, bottles & lights. Easy for beginners—perfect for unique home or office decor.

","Whether you're a beginner or an experienced artist, you can paint and decorate upcycled bottles and add a magical glow with included lights. 


",DIY Kit,DIY light Bottle lamp art Upcycled bottle painting Beginner-friendly craft gift idea
f5d845f3-cf2b-42cb-bbf3-b5baa899fdda,Minimalist Barefoot Shoe,"Move the way nature intended with Zen Origin, a minimalist barefoot shoe featuring a wide toe box, zero heel-to-toe drop, and ultra-thin sole. Ideal for gym training, walking, and running—even on roads and concrete. Experience true freedom at Toastd.in.","They are perfect for training in the gym, walking and running outdoors.
",Unisex|Barefoot|Planet-Friendly,"Shoes Wide toe box, foot-shaped silhouette Zero drop platform heel and toes level Thin flexible sole ground feel"
2ce639e2-080c-4c9a-97a6-ce3fdce09bad,HABIT TRACKER,"Buy the HABIT TRACKER by Shenzation and stay consistent with your goals. Includes 12 portable monthly trackers that double as bookmarks—perfect for building habits like journaling, meditation & exercise.","Did you know Inconsistent tracking and a lack of structure can derail your progress in building habits. Struggling to stay accountable often leads to frustration, procrastination, and unfulfilled goals.",Made in India|Smash Your Goals,Monthly habit tracking cards Printable bookmarks tracker card set 12 months consistency Daily accountability tool
4be38a81-94b5-4a70-8b8f-0035db07fd8d,Serve Air Pickleball Paddle,"Buy Serve Air Pickleball Paddle – designed for beginner players seeking power, control & comfort. Features a lightweight fiberglass build, 14mm core, cushioned grip & large sweet spot for fast improvement.","Our Fiberglass Pickleball Paddle is made for beginners who want power, control, and comfort from the very first hit.",Pickleball,Air Pickleball Paddle Fiberglass Beginner-friendly Lightweight Sports equipment
4e1cf846-48d0-4112-8bd6-356ac60dbb9d,PureFlow Nasal Strips ,"Discover PureFlow Nasal Strips for improved breathing and reduced snoring. Perfect for sleep, workouts, and congestion relief. Easy to use, comfortable, and travel-friendly. Breathe better today with PureFlow!",Imagine breathing like your lungs just got a first-class upgrade.,,Nasal Strips Non-medicated nasal airflow aid Enhance breathing day or night Reduce snoring restful sleep athletic performance better oxygen delivery Boost recovery energy focus cognitive clarity
